Projeto,Classe,CBO,DIT,LCOM
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/twin/src/test/java/com/iluwatar/twin/BallItemTest.java,0,3,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/presentation-model/src/test/java/com/iluwatar/presentationmodel/PresentationTest.java,0,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/spatial-partition/src/main/java/com/iluwatar/spatialpartition/SpatialPartitionBubbles.java,2,5,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/metadata-mapping/src/main/java/com/iluwatar/metamapping/model/User.java,2,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/throttling/src/main/java/com/iluwatar/throttling/BarCustomer.java,3,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/servant/src/main/java/com/iluwatar/servant/King.java,2,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/composite-entity/src/main/java/com/iluwatar/compositeentity/ConsoleCoarseGrainedObject.java,2,4,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/game-loop/src/main/java/com/iluwatar/gameloop/GameStatus.java,1,0,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/service-layer/src/main/java/com/iluwatar/servicelayer/hibernate/HibernateUtil.java,4,7,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/game-loop/src/main/java/com/iluwatar/gameloop/App.java,0,5,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/parameter-object/src/test/java/com/iluwatar/parameter/object/ParameterObjectTest.java,1,5,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/double-dispatch/src/main/java/com/iluwatar/doubledispatch/GameObject.java,11,8,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/microservices-aggregrator/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/Product.java,2,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/state/src/main/java/com/iluwatar/state/State.java,3,0,1
