Posição,Nome,Dono,Estrelas,Releases,Criado em,Tamanho (KB),URL
59,EventBus,greenrobot,24741,7,2012-07-16T16:55:40Z,1742,https://github.com/greenrobot/EventBus
60,flink,apache,24687,0,2014-06-07T07:00:10Z,521644,https://github.com/apache/flink
61,Hystrix,Netflix,24282,79,2012-11-19T20:14:46Z,9799,https://github.com/Netflix/Hystrix
62,skywalking,apache,24179,62,2015-11-07T03:30:36Z,172854,https://github.com/apache/skywalking
63,libgdx,libgdx,23858,13,2012-08-10T19:34:38Z,1105439,https://github.com/libgdx/libgdx
64,bazel,bazelbuild,23847,192,2014-06-12T16:00:38Z,965777,https://github.com/bazelbuild/bazel
65,jenkins,jenkinsci,23801,406,2010-11-22T21:21:23Z,164018,https://github.com/jenkinsci/jenkins
66,redisson,redisson,23696,167,2014-01-11T14:06:25Z,30562,https://github.com/redisson/redisson
67,gson,google,23640,9,2015-03-19T18:21:20Z,13606,https://github.com/google/gson
68,Mindustry,Anuken,23521,160,2017-04-30T01:24:29Z,1852996,https://github.com/Anuken/Mindustry
69,openapi-generator,OpenAPITools,23235,70,2018-05-12T09:57:56Z,909074,https://github.com/OpenAPITools/openapi-generator
70,Sentinel,alibaba,22642,25,2018-04-04T06:37:33Z,8335,https://github.com/alibaba/Sentinel
71,source-code-hunter,doocs,22582,0,2019-10-28T01:35:10Z,70682,https://github.com/doocs/source-code-hunter
72,FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,22293,0,2012-11-24T00:14:41Z,340,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
73,SmartTube,yuliskov,22017,730,2020-07-28T12:53:52Z,93616,https://github.com/yuliskov/SmartTube
74,awesome-system-design-resources,ashishps1,21903,0,2023-10-25T01:50:42Z,2252,https://github.com/ashishps1/awesome-system-design-resources
75,ExoPlayer,google,21809,28,2014-06-13T21:19:18Z,484242,https://github.com/google/ExoPlayer
76,Chat2DB,CodePhiliaX,21805,43,2023-06-20T14:05:26Z,18690,https://github.com/CodePhiliaX/Chat2DB
77,rocketmq,apache,21661,21,2016-11-30T08:00:08Z,43231,https://github.com/apache/rocketmq
78,Apktool,iBotPeaches,21619,25,2012-03-19T17:46:53Z,313911,https://github.com/iBotPeaches/Apktool
79,eladmin,elunez,21571,1,2018-12-14T08:54:24Z,7490,https://github.com/elunez/eladmin
80,graal,oracle,20733,32,2016-01-14T17:11:35Z,431462,https://github.com/oracle/graal
81,jdk,openjdk,20696,0,2018-09-17T12:29:20Z,1317018,https://github.com/openjdk/jdk
82,GSYVideoPlayer,CarGuo,20626,48,2016-11-13T12:34:31Z,337869,https://github.com/CarGuo/GSYVideoPlayer
83,conductor,conductor-oss,20391,19,2023-12-08T06:06:09Z,35190,https://github.com/conductor-oss/conductor
84,HikariCP,brettwooldridge,20342,0,2013-10-08T05:43:03Z,4958,https://github.com/brettwooldridge/HikariCP
85,DoKit,didi,20292,10,2018-08-14T10:32:07Z,58615,https://github.com/didi/DoKit
