Nome,Dono,Estrelas,Releases,Criado em,URL
jenkins,jenkinsci,23770,406,2010-11-22T21:21:23Z,https://github.com/jenkinsci/jenkins
redisson,redisson,23686,167,2014-01-11T14:06:25Z,https://github.com/redisson/redisson
gson,google,23622,9,2015-03-19T18:21:20Z,https://github.com/google/gson
Mindustry,Anuken,23489,160,2017-04-30T01:24:29Z,https://github.com/Anuken/Mindustry
openapi-generator,OpenAPITools,23151,70,2018-05-12T09:57:56Z,https://github.com/OpenAPITools/openapi-generator
Sentinel,alibaba,22631,25,2018-04-04T06:37:33Z,https://github.com/alibaba/Sentinel
source-code-hunter,doocs,22557,0,2019-10-28T01:35:10Z,https://github.com/doocs/source-code-hunter
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,22226,0,2012-11-24T00:14:41Z,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
SmartTube,yuliskov,21866,716,2020-07-28T12:53:52Z,https://github.com/yuliskov/SmartTube
ExoPlayer,google,21806,28,2014-06-13T21:19:18Z,https://github.com/google/ExoPlayer
awesome-system-design-resources,ashishps1,21696,0,2023-10-25T01:50:42Z,https://github.com/ashishps1/awesome-system-design-resources
rocketmq,apache,21627,21,2016-11-30T08:00:08Z,https://github.com/apache/rocketmq
eladmin,elunez,21553,1,2018-12-14T08:54:24Z,https://github.com/elunez/eladmin
Apktool,iBotPeaches,21549,25,2012-03-19T17:46:53Z,https://github.com/iBotPeaches/Apktool
Chat2DB,CodePhiliaX,21371,43,2023-06-20T14:05:26Z,https://github.com/CodePhiliaX/Chat2DB
graal,oracle,20715,32,2016-01-14T17:11:35Z,https://github.com/oracle/graal
jdk,openjdk,20645,0,2018-09-17T12:29:20Z,https://github.com/openjdk/jdk
GSYVideoPlayer,CarGuo,20596,48,2016-11-13T12:34:31Z,https://github.com/CarGuo/GSYVideoPlayer
conductor,conductor-oss,20391,19,2023-12-08T06:06:09Z,https://github.com/conductor-oss/conductor
HikariCP,brettwooldridge,20325,0,2013-10-08T05:43:03Z,https://github.com/brettwooldridge/HikariCP
DoKit,didi,20291,10,2018-08-14T10:32:07Z,https://github.com/didi/DoKit
shardingsphere,apache,20125,58,2016-01-18T12:49:26Z,https://github.com/apache/shardingsphere
mybatis-3,mybatis,20006,46,2013-02-14T19:03:32Z,https://github.com/mybatis/mybatis-3
RxAndroid,ReactiveX,19865,20,2014-08-19T03:46:38Z,https://github.com/ReactiveX/RxAndroid
dataease,dataease,19663,91,2021-02-02T04:10:21Z,https://github.com/dataease/dataease
litemall,linlinjava,19551,8,2018-03-22T16:42:30Z,https://github.com/linlinjava/litemall
LSPosed,LSPosed,19501,39,2020-12-12T08:39:37Z,https://github.com/LSPosed/LSPosed
SpringBoot-Labs,yudaocode,19474,0,2018-09-12T14:51:46Z,https://github.com/yudaocode/SpringBoot-Labs
PhotoView,Baseflow,18833,5,2012-07-17T16:39:00Z,https://github.com/Baseflow/PhotoView
cat,dianping,18815,3,2012-12-05T02:31:48Z,https://github.com/dianping/cat
DSA-Bootcamp-Java,kunal-kushwaha,18594,0,2021-07-30T12:23:25Z,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
thingsboard,thingsboard,18475,65,2016-12-01T09:33:30Z,https://github.com/thingsboard/thingsboard
SpringCloudLearning,forezp,17923,0,2017-04-08T10:06:56Z,https://github.com/forezp/SpringCloudLearning
Algorithms,williamfiset,17764,0,2017-03-18T02:50:46Z,https://github.com/williamfiset/Algorithms
intellij-community,JetBrains,17758,0,2011-09-30T13:33:05Z,https://github.com/JetBrains/intellij-community
antlr4,antlr,17721,31,2010-02-04T01:36:28Z,https://github.com/antlr/antlr4
disruptor,LMAX-Exchange,17682,14,2012-09-21T13:42:24Z,https://github.com/LMAX-Exchange/disruptor
APIJSON,Tencent,17563,107,2016-11-21T12:03:29Z,https://github.com/Tencent/APIJSON
tinker,Tencent,17259,59,2016-09-06T06:57:52Z,https://github.com/Tencent/tinker
Sa-Token,dromara,17222,35,2020-02-03T10:34:29Z,https://github.com/dromara/Sa-Token
zipkin,openzipkin,17149,96,2012-06-06T18:26:16Z,https://github.com/openzipkin/zipkin
fresco,facebook,17100,55,2015-03-02T09:58:04Z,https://github.com/facebook/fresco
yudao-cloud,YunaiV,16918,20,2019-05-02T16:06:49Z,https://github.com/YunaiV/yudao-cloud
analysis-ik,infinilabs,16879,1,2011-12-16T09:01:45Z,https://github.com/infinilabs/analysis-ik
JustAuth,justauth,16809,46,2019-01-31T09:42:20Z,https://github.com/justauth/JustAuth
Android-Universal-Image-Loader,nostra13,16777,0,2011-11-27T18:48:23Z,https://github.com/nostra13/Android-Universal-Image-Loader
java8-tutorial,winterbe,16773,0,2014-03-16T17:25:43Z,https://github.com/winterbe/java8-tutorial
mybatis-plus,baomidou,16730,34,2016-08-18T10:06:53Z,https://github.com/baomidou/mybatis-plus
zheng,shuzheng,16708,0,2016-10-04T10:07:06Z,https://github.com/shuzheng/zheng
material-components-android,material-components,16621,102,2016-12-05T16:11:29Z,https://github.com/material-components/material-components-android
kestra,kestra-io,16541,204,2019-08-24T13:56:15Z,https://github.com/kestra-io/kestra
Grasscutter,Grasscutters,16473,20,2022-04-17T12:43:46Z,https://github.com/Grasscutters/Grasscutter
springboot-learning-example,JeffLi1993,16445,0,2017-02-06T07:02:25Z,https://github.com/JeffLi1993/springboot-learning-example
caffeine,ben-manes,16407,69,2014-12-13T08:45:11Z,https://github.com/ben-manes/caffeine
DataX,alibaba,16308,7,2018-01-18T10:09:47Z,https://github.com/alibaba/DataX
BigData-Notes,heibaiying,16279,0,2019-03-10T01:40:01Z,https://github.com/heibaiying/BigData-Notes
presto,prestodb,16274,0,2012-08-09T01:03:37Z,https://github.com/prestodb/presto
Ehviewer_CN_SXJ,xiaojieonly,16251,99,2020-11-09T06:14:31Z,https://github.com/xiaojieonly/Ehviewer_CN_SXJ
SpringBoot-Learning,dyc87112,15772,0,2016-08-21T03:39:06Z,https://github.com/dyc87112/SpringBoot-Learning
VirtualXposed,android-hacker,15628,50,2017-12-01T09:00:58Z,https://github.com/android-hacker/VirtualXposed
Android-CleanArchitecture,android10,15532,0,2014-08-19T14:09:26Z,https://github.com/android10/Android-CleanArchitecture
tech-interview-for-developer,gyoogle,15520,0,2019-06-09T04:42:57Z,https://github.com/gyoogle/tech-interview-for-developer
mockito,mockito,15082,219,2012-10-13T20:27:12Z,https://github.com/mockito/mockito
questdb,questdb,14998,85,2014-04-28T23:29:15Z,https://github.com/questdb/questdb
hadoop,apache,14996,0,2014-08-28T07:00:08Z,https://github.com/apache/hadoop
bytecode-viewer,Konloch,14909,60,2014-10-14T10:26:46Z,https://github.com/Konloch/bytecode-viewer
flink-learning,zhisheng17,14700,0,2019-01-01T07:38:28Z,https://github.com/zhisheng17/flink-learning
CircleImageView,hdodenhof,14545,0,2014-01-17T16:44:46Z,https://github.com/hdodenhof/CircleImageView
pulsar,apache,14506,102,2016-06-28T07:00:03Z,https://github.com/apache/pulsar
QMUI_Android,Tencent,14475,35,2017-04-21T10:03:18Z,https://github.com/Tencent/QMUI_Android
ARouter,alibaba,14473,16,2016-12-14T01:27:49Z,https://github.com/alibaba/ARouter
vert.x,eclipse-vertx,14437,0,2011-06-17T14:54:55Z,https://github.com/eclipse-vertx/vert.x
logstash,elastic,14390,174,2010-11-18T01:31:50Z,https://github.com/elastic/logstash
jd-gui,java-decompiler,14381,18,2015-03-25T05:28:41Z,https://github.com/java-decompiler/jd-gui
Arduino,arduino,14285,37,2010-09-17T19:10:36Z,https://github.com/arduino/Arduino
quarkus,quarkusio,14238,370,2018-07-06T00:44:20Z,https://github.com/quarkusio/quarkus
neo4j,neo4j,13990,72,2012-11-12T08:46:15Z,https://github.com/neo4j/neo4j
supertokens-core,supertokens,13966,83,2020-01-05T13:30:52Z,https://github.com/supertokens/supertokens-core
deeplearning4j,deeplearning4j,13875,0,2013-11-27T02:03:28Z,https://github.com/deeplearning4j/deeplearning4j
logger,orhanobut,13849,16,2015-03-20T22:30:12Z,https://github.com/orhanobut/logger
jib,GoogleContainerTools,13839,167,2018-01-22T18:30:43Z,https://github.com/GoogleContainerTools/jib
onedev,theonedev,13785,390,2018-11-06T02:57:01Z,https://github.com/theonedev/onedev
zuul,Netflix,13649,15,2013-03-13T18:53:57Z,https://github.com/Netflix/zuul
druid,apache,13642,66,2012-10-23T19:08:07Z,https://github.com/apache/druid
Luban,Curzibn,13629,6,2016-07-24T07:43:21Z,https://github.com/Curzibn/Luban
spring-analysis,seaswalker,13609,0,2016-09-09T07:46:32Z,https://github.com/seaswalker/spring-analysis
AndroidAutoSize,JessYanCoding,13593,14,2018-08-17T09:04:19Z,https://github.com/JessYanCoding/AndroidAutoSize
pinpoint,pinpoint-apm,13548,60,2014-10-20T09:27:22Z,https://github.com/pinpoint-apm/pinpoint
tink,tink-crypto,13524,21,2014-06-06T16:21:09Z,https://github.com/tink-crypto/tink
Material-Animations,lgvalle,13513,0,2015-03-08T20:54:00Z,https://github.com/lgvalle/Material-Animations
Android-PickerView,Bigkoo,13470,0,2014-12-28T01:46:38Z,https://github.com/Bigkoo/Android-PickerView
piggymetrics,sqshq,13424,2,2015-03-29T17:56:31Z,https://github.com/sqshq/piggymetrics
PictureSelector,LuckSiege,13408,116,2017-01-04T07:47:39Z,https://github.com/LuckSiege/PictureSelector
doris,apache,13359,64,2017-08-10T12:13:30Z,https://github.com/apache/doris
zaproxy,zaproxy,13355,10,2015-06-03T16:55:01Z,https://github.com/zaproxy/zaproxy
dolphinscheduler,apache,13338,52,2019-03-01T16:39:25Z,https://github.com/apache/dolphinscheduler
mit-deep-learning-book-pdf,janishar,13214,3,2017-04-07T10:46:50Z,https://github.com/janishar/mit-deep-learning-book-pdf
Java,DuGuQiuBai,13212,0,2015-11-25T07:30:08Z,https://github.com/DuGuQiuBai/Java
mall-learning,macrozheng,13093,0,2019-04-12T13:20:31Z,https://github.com/macrozheng/mall-learning
lombok,projectlombok,13068,0,2009-06-08T19:46:41Z,https://github.com/projectlombok/lombok
banner,youth5201314,12976,0,2016-04-22T05:50:25Z,https://github.com/youth5201314/banner
languagetool,languagetool-org,12913,0,2013-08-08T16:37:22Z,https://github.com/languagetool-org/languagetool
conductor,Netflix,12793,319,2016-12-07T22:48:42Z,https://github.com/Netflix/conductor
stetho,facebook,12694,13,2015-01-22T22:34:10Z,https://github.com/facebook/stetho
greenDAO,greenrobot,12625,8,2011-10-22T16:15:14Z,https://github.com/greenrobot/greenDAO
dex2jar,pxb1988,12594,8,2015-03-16T09:13:07Z,https://github.com/pxb1988/dex2jar
guice,google,12582,19,2014-05-28T23:18:53Z,https://github.com/google/guice
cryptomator,cryptomator,12561,184,2014-02-02T00:43:47Z,https://github.com/cryptomator/cryptomator
Matisse,zhihu,12548,15,2017-04-13T01:31:05Z,https://github.com/zhihu/Matisse
eureka,Netflix,12511,150,2012-07-26T22:23:07Z,https://github.com/Netflix/eureka
spring-boot-admin,codecentric,12508,131,2014-07-25T11:39:13Z,https://github.com/codecentric/spring-boot-admin
AndroidViewAnimations,daimajia,12452,9,2014-06-23T03:53:13Z,https://github.com/daimajia/AndroidViewAnimations
zookeeper,apache,12420,0,2009-03-27T15:41:56Z,https://github.com/apache/zookeeper
AndroidSwipeLayout,daimajia,12401,18,2014-08-25T04:09:33Z,https://github.com/daimajia/AndroidSwipeLayout
COLA,alibaba,12292,11,2018-02-06T13:46:27Z,https://github.com/alibaba/COLA
Mybatis-PageHelper,pagehelper,12282,14,2014-06-09T15:32:30Z,https://github.com/pagehelper/Mybatis-PageHelper
mall-swarm,macrozheng,12208,3,2019-11-25T06:55:31Z,https://github.com/macrozheng/mall-swarm
jedis,redis,11998,109,2010-06-11T13:04:43Z,https://github.com/redis/jedis
kkFileView,kekingcn,11968,16,2017-12-12T11:41:08Z,https://github.com/kekingcn/kkFileView
uCrop,Yalantis,11961,18,2016-01-05T13:41:06Z,https://github.com/Yalantis/uCrop
metersphere,metersphere,11907,175,2020-02-03T02:06:12Z,https://github.com/metersphere/metersphere
VasSonic,Tencent,11851,10,2017-08-01T08:35:13Z,https://github.com/Tencent/VasSonic
matrix,Tencent,11768,16,2018-12-11T07:08:02Z,https://github.com/Tencent/matrix
android-interview-questions,amitshekhariitbhu,11722,0,2017-07-09T18:47:24Z,https://github.com/amitshekhariitbhu/android-interview-questions
grpc-java,grpc,11649,176,2014-12-08T19:00:00Z,https://github.com/grpc/grpc-java
fullstack-tutorial,frank-lam,11629,0,2018-04-13T01:50:10Z,https://github.com/frank-lam/fullstack-tutorial
webmagic,code4craft,11521,33,2013-04-23T12:57:36Z,https://github.com/code4craft/webmagic
realm-java,realm,11485,0,2012-04-20T09:18:42Z,https://github.com/realm/realm-java
CtCI-6th-Edition,careercup,11402,0,2015-07-02T06:28:46Z,https://github.com/careercup/CtCI-6th-Edition
ImmersionBar,gyf-dev,11376,0,2017-04-19T05:10:09Z,https://github.com/gyf-dev/ImmersionBar
xManager,Team-xManager,11290,50,2021-02-08T11:31:10Z,https://github.com/Team-xManager/xManager
newbee-mall,newbee-ltd,11267,0,2019-09-21T03:56:04Z,https://github.com/newbee-ltd/newbee-mall
PermissionsDispatcher,permissions-dispatcher,11228,40,2015-08-15T21:41:05Z,https://github.com/permissions-dispatcher/PermissionsDispatcher
