file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/jota/classroom/lab-02-qualidade-java/repos/hello-algorithm/算法读物/剑指offer/20_NumericStrings/Solution1.java,Solution1,isNumeric/1[char[]],false,16,2,2,0,2,9,2,15,2,1,1,2,2,2,0,5,0,1,0,1,3,0,1,0,0,0,10,1,0,true
/home/jota/classroom/lab-02-qualidade-java/repos/hello-algorithm/算法读物/剑指offer/20_NumericStrings/Solution1.java,Solution1,scanUnsignedInteger/1[char[]],false,53,1,2,2,0,5,0,7,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,2,0,false
/home/jota/classroom/lab-02-qualidade-java/repos/hello-algorithm/算法读物/剑指offer/20_NumericStrings/Solution1.java,Solution1,scanInteger/1[char[]],false,44,2,2,1,1,4,1,6,1,0,1,1,1,1,0,2,0,1,0,0,0,0,1,0,0,0,5,2,0,false
/home/jota/classroom/lab-02-qualidade-java/repos/hello-algorithm/算法读物/剑指offer/10_04_RectCover/Solution.java,Solution,RectCover/1[int],false,13,0,0,0,0,3,0,12,2,2,1,0,0,0,1,0,0,0,0,9,5,4,1,0,0,0,5,1,0,true
